map,killer,escapes,escape,perk1,perk2,perk3,perk4,item,addon1,addon2,offering,pips,swf
,Trapper,4,Y,Technician (R),Alert (R),Deja Vu (R),Kinship (R),,,,,,N
,Doctor,0,N,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),,,,,,N
Ironworks of Misery,Ghostface,3,Y,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),,,Fresh Crispleaf Amaranth (U),,N
Father Campbell's Chapel,Doctor,0,N,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),Spring Clamp (U),,Fresh Crispleaf Amaranth (U),,N
Wretched Shop,Doctor,4,Y,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),,,Bog Laurel Sachet (C),,N
Suffocation Pit,Plague,4,Y,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),Clean Rag (C),,Bloodied Blueprint (C),,N
The Thompson House,Onryo,0,N,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),Grip Wrench (R),Protective Gloves (U),Bloody Party Streamers (R),,N
Mother's Dwelling,Deathslinger,4,Y,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),,,Hazy Reagent (U),,N
Gas Heaven,Trapper,4,Y,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),Instructions (C),,Hazy Reagent (U),,N
Treatment Theatre,Trapper,1,N,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),Instructions (C),,Fresh Crispleaf Amaranth (U),,N
Ironworks of Misery,Trickster,4,Y,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),,,Salt Pouch (U),,N
Grim Pantry,Hillbilly,4,Y,Technician (R),Alert (R),Deja Vu (R),No One Left Behind (R),Toolbox (U),Brand New Part (L),,Chalk Pouch (C),,N
Rotten Fields,Ghostface,4,Y,Technician (R),Alert (R),Deja Vu (V),No One Left Behind (R),Toolbox (U),Spring Clamp (U),,Fresh Bog Laurel (U),,N
Gas Heaven,Trickster,4,Y,Technician (R),Alert (R),Deja Vu (V),No One Left Behind (R),Toolbox (U),,,Fresh Bog Laurel (U),,N
Mount Ormond Resort,Nurse,3,Y,Technician (R),Alert (R),Deja Vu (V),No One Left Behind (R),First Aid Kit (U),Butterfly Tape (C),Bandages (C),Fresh Primrose Blossom (U),,N
Grim Pantry,Trapper,4,Y,Technician (R),Alert (R),Deja Vu (V),No One Left Behind (R),First Aid Kit (U),Butterfly Tape (C),Bandages (C),Primrose Blossom Sachet (C),,N
Father Campbell's Chapel,Artist,0,N,Technician (R),Alert (R),Deja Vu (V),No One Left Behind (R),First Aid Kit (U),Gauze Roll (U),Needle & Thread (U),Primrose Blossom Sachet (C),,N
Mount Ormond Resort,Deathslinger,0,N,Streetwise (U),,,,Camping Aid Kit (C),Bandages (C),,,,N
Family Residence,Hillbilly,0,N,Streetwise (U),,,,Worn-Out Tools (C),,,,,N
Fractured Cowshed,Hillbilly,0,N,Technician (R),Alert (R),Deja Vu (V),No One Left Behind (R),Dull Key (V),Prayer Rope (C),Scratched Pearl (U),Primrose Blossom Sachet (C),,N
The Pale Rose,Trapper,3,Y,Technician (R),Alert (R),Deja Vu (V),No One Left Behind (R),Toolbox (U),Protective Gloves (U),Cutting Wire (U),Primrose Blossom Sachet (C),,N
Wretched Shop,Wraith,4,Y,Technician (R),Alert (R),Deja Vu (V),Spine Chill (U),Toolbox (U),Protective Gloves (U),Cutting Wire (U),Black Salt Statuette (R),,N
Grim Pantry,Ghostface,3,Y,Technician (R),Alert (R),Deja Vu (V),Spine Chill (U),Toolbox (U),Protective Gloves (U),Cutting Wire (U),Sweet William Sachet (C),,N
Badham Preschool I,Nurse,0,N,Technician (R),Alert (R),Deja Vu (V),Spine Chill (U),Toolbox (U),Scraps (C),,Sweet William Sachet (C),,N
Sanctum of Wrath,Shape,2,N,Technician (R),Alert (V),Deja Vu (V),Plunderer's Instinct (R),Toolbox (U),Wire Spool (U),Spring Clamp (U),Escape! Cake (U),,N
Father Campbell's Chapel,Trapper,3,N,Technician (R),Alert (V),Deja Vu (V),Plunderer's Instinct (R),Toolbox (U),Scraps (C),,Escape! Cake (U),,N
Treatment Theatre,Trapper,0,N,Saboteur (U),,,,Toolbox (U),Camping Aid Kit (C),,,,N
Lampkin Lane,Trapper,4,Y,Saboteur (U),,,,,,,Fresh Sweet William (U),,N
Treatment Theatre,Trapper,3,N,Saboteur (U),,,,Worn-Out Tools (C),,,Vigo's Shroud (U),,N
Suffocation Pit,Legion,0,N,Saboteur (U),No One Left Behind (U),,,Worn-Out Tools (C),,,Chalk Pouch (C),,N
Disturbed Ward,Wraith,0,N,Saboteur (U),Iron Will (U),,,,,,Hazy Reagent (U),,N
Raccoon City Police Station,Nemesis,4,Y,Technician (R),Alert (V),Deja Vu (V),Plunderer's Instinct (R),Toolbox (U),,,Escape! Cake (U),,N
Torment Creek,Executioner,4,Y,Saboteur (U),Iron Will (U),,,Flashlight (U),Leather Grip (C),Power Bulb (C),Torn Blueprint (C),,N
The Temple of Purgation,Nurse,0,N,Streetwise (U),,,,Toolbox (U),,,Vigo's Blueprint (C),,N
Eyrie of Crows,Wraith,1,N,Prove Thyself (U),,,,Worn-Out Tools (C),,,,,N
Dead Dawg Saloon,???,4,Y,Prove Thyself (U),,,,Worn-Out Tools (C),,,,,N
Eyrie of Crows,Wraith,1,N,Prove Thyself (U),,,,Worn-Out Tools (C),,,Tarnished Coin (U),,N
Wreckers Yard,Wraith,1,N,Prove Thyself (U),,,,,,,Annotated Blueprint (C),0,N
Dead Dawg Saloon,Trapper,4,Y,Prove Thyself (U),,,,Worn-Out Tools (C),,,Black Salt Statuette (R),1,N
